Year,Miles_Equator,Political Stability,School Enrollment Female,Life expency,GDP_Per_Capita,No_religion,Roman_Catholic,Protestant,Orthodox,Jew,Muslim,Hindu,Buddhist,Other Christian,Other,DK,NA,,,
Ethiopia,2007,631.005,-1.806409359,26.0020809,58.467,1028.436486,0.5,1.5,19.4,64.7,0.4,10.5,0,0.1,0,1.6,0.1,1.1,,
France,2007,3189.707022,0.563000798,106.790291,81.1121951,35902.90311,49.4,41.6,2.2,0.2,0.2,4.7,0,0.5,0.4,0.2,0.1,0.5,,
Germany,2007,3530.432679,0.995823801,100.868668,79.5341463,38952.6946,41.9,21,0,0.6,0,1.2,0,0.2,32.7,1.4,0.2,0.8,,
Ghana,2007,548.310363,-0.073061265,42.3754005,59.741,2974.159419,0,20.8,55.3,3.7,0,14.9,0,0.1,0,2.7,0.1,2.2,,
Guatemala,2007,1089.059499,-0.753424942,43.5954208,70.409,6618.916031,9,55.9,31,0,0,0.2,0,0.1,0,3.2,0.5,0,,
Hungary,2007,3254.212086,0.747096717,95.894783,73.1512195,21751.83384,29.2,47.2,16.8,3.5,0.2,0,0,0,0.7,1.4,0.2,0.8,,
India,2007,1420.964196,-1.154295802,53.3059692,65.35,4237.208788,2.9,0,0,0,0.6,8.1,75.6,1.8,3.1,4.9,0,2.6,,
Iraq,2007,2292.400179,-2.771050692,46.0039101,68.13,12718.4112,0,0.1,0,0.1,0,61.8,0,0,0.6,37.2,0.1,0.1,,
Jordan,2007,2110.376316,-0.300741792,86.8393326,72.931,9461.328429,0,1.3,0.3,0.7,0,97.7,0,0,0,0,0,0,,
Malaysia,2007,290.523396,0.193307161,80.6319275,73.931,20511.00574,1.5,7,4.6,0,0.2,57.4,7.8,20.1,0,1.2,0,0.2,,
Mexico,2007,1630.780569,-0.729851604,87.5231018,75.255,15255.01905,17.1,72.2,1,0,0.1,0.1,0,0,5.6,2.9,0.1,0.9,,
Peru,2007,-634.107723,-0.774885893,88.3636169,73.528,9731.487772,11.7,70.4,12.6,0,0.1,0,0.3,0,0,3.9,0,1.1,,
Romania,2007,3170.078109,0.198067933,87.3059998,72.5658537,16976.25909,0.4,7.5,5,86.5,0.1,0.2,0,0,0,0,0,0.3,,
Serbia,2007,3037.139949,-0.591357946,90.8078995,73.6317073,12798.27213,3.7,3.9,0.7,87.1,0.6,2.7,0,0,0,0,0.1,1.1,,
South Africa,2007,-2108.604258,0.215346545,94.9352264,54.452,12913.54048,16.2,12.1,58.5,0.2,0.1,1.2,1,0.3,1.5,6.6,2.3,0,,
Spain,2007,2791.993023,-0.27673164,120.242722,80.8731707,31682.7131,18.1,79.7,0.3,0,0,0.1,0,0.2,0,0.2,0.2,1.2,,
Sweden,2007,4148.843109,1.271478295,102.006729,80.9,42223.91967,25,1.6,0.3,0,0,0.4,0,0,3.2,68.8,0,0.7,,
Switzerland,2007,3230.454972,1.234408855,93.3035736,81.7414634,54858.44808,19.1,36.6,37.8,0,0.6,1.6,0,0,0,3.7,0,0.7,,
Thailand,2007,1095.032208,-1.112847924,82.2775497,72.916,13196.8176,0.1,0,0.1,0,0.1,2.5,0,96.8,0,0.1,0,0.2,,
Ukraine,2007,3338.180877,0.172825918,96.6398468,68.2221951,8559.929688,25.7,7.2,0.4,60.6,0.7,0.3,0,0.2,0,0,2.2,2.9,,
United Kingdom,2007,3821.085519,0.574654937,98.1899567,79.4487805,36576.58654,47,10.9,25.1,0.3,0.3,7.2,0.9,0.4,2.1,3.1,0.1,1.5,,
Uruguay,2007,-2244.071751,0.835530937,91.3403702,76.251,16818.92257,55,33.8,6.9,0,0.3,0,0.1,0.2,0,3.7,0,0,,
Argentina,2008,-2650.710693,-0.087755688,98.7242432,74.952,19322.22712,14.5,75.5,0.3,0,0.2,0,0.2,6.6,0,1.7,0,0.9,,
Ethiopia,2008,631.005,-1.732120633,28.1964798,59.581,1134.784509,0.5,1.5,19.4,64.7,0.4,10.5,0,0.1,0,1.6,0.1,1.1,,
France,2008,3189.707022,0.543759167,106.61882,81.2146341,37440.63347,49.4,41.6,2.2,0.2,0.2,4.7,0,0.5,0.4,0.2,0.1,0.5,,
Georgia,2008,2919.763083,-0.919675112,100.927689,70.946,8360.297207,1.5,0.3,0,93.5,0.1,3.3,0.1,0.1,0,1.1,0,0.1,,
Germany,2008,3530.432679,0.943830788,101.807892,79.7365854,42541.53109,41.9,21,0,0.6,0,1.2,0,0.2,32.7,1.4,0.2,0.8,,
Ghana,2008,548.310363,-0.029515961,44.4909706,60.216,3379.484599,0,20.8,55.3,3.7,0,14.9,0,0.1,0,2.7,0.1,2.2,,
Guatemala,2008,1089.059499,-0.713971555,44.6203613,70.75,6910.876502,9,55.9,31,0,0,0.2,0,0.1,0,3.2,0.5,0,,
Hungary,2008,3254.212086,0.75026387,95.3394699,73.702439,23038.80802,29.2,47.2,16.8,3.5,0.2,0,0,0,0.7,1.4,0.2,0.8,,
India,2008,1420.964196,-1.109707355,57.0118904,65.794,4493.669466,2.9,0,0,0,0.6,8.1,75.6,1.8,3.1,4.9,0,2.6,,
Jordan,2008,2110.376316,-0.370714009,87.3076401,73.099,9402.616204,0,1.3,0.3,0.7,0,97.7,0,0,0,0,0,0,,
Malaysia,2008,290.523396,0.108542368,80.3164902,74.118,21704.74427,1.5,7,4.6,0,0.2,57.4,7.8,20.1,0,1.2,0,0.2,,
Mexico,2008,1630.780569,-0.804012358,89.5588379,75.194,16520.25922,17.1,72.2,1,0,0.1,0.1,0,0,5.6,2.9,0.1,0.9,,
Peru,2008,-634.107723,-0.892661691,89.8936615,73.826,10476.79633,11.7,70.4,12.6,0,0.1,0,0.3,0,0,3.9,0,1.1,,
Romania,2008,3170.078109,0.180609092,92.7200089,72.5658537,17896.27586,0.4,7.5,5,86.5,0.1,0.2,0,0,0,0,0,0.3,,
Serbia,2008,3037.139949,-0.542712986,91.6802597,73.8853659,13746.92502,3.7,3.9,0.7,87.1,0.6,2.7,0,0,0,0,0.1,1.1,,
South Africa,2008,-2108.604258,0.049528994,93.113472,55.36,13393.76689,16.2,12.1,58.5,0.2,0.1,1.2,1,0.3,1.5,6.6,2.3,0,,
Spain,2008,2791.993023,-0.383085459,119.132599,81.1756098,31867.97324,18.1,79.7,0.3,0,0,0.1,0,0.2,0,0.2,0.2,1.2,,
Sweden,2008,4148.843109,1.128336549,100.968674,81.1,44608.58026,25,1.6,0.3,0,0,0.4,0,0,3.2,68.8,0,0.7,,
Switzerland,2008,3230.454972,1.222245216,93.5561218,81.9926829,57987.50203,19.1,36.6,37.8,0,0.6,1.6,0,0,0,3.7,0,0.7,,
Thailand,2008,1095.032208,-1.272093296,82.050293,73.341,13519.12902,0.1,0,0.1,0,0.1,2.5,0,96.8,0,0.1,0,0.2,,
Ukraine,2008,3338.180877,0.042514395,95.2829666,68.2514634,9246.769531,25.7,7.2,0.4,60.6,0.7,0.3,0,0.2,0,0,2.2,2.9,,
United Kingdom,2008,3821.085519,0.492879868,99.1683731,79.6,37379.29097,47,10.9,25.1,0.3,0.3,7.2,0.9,0.4,2.1,3.1,0.1,1.5,,
Uruguay,2008,-2244.071751,0.845082819,93.3961487,76.437,18002.89383,55,33.8,6.9,0,0.3,0,0.1,0.2,0,3.7,0,0,,
Argentina,2009,-2650.710693,-0.234854579,101.948082,75.116,19641.35286,14.5,75.5,0.3,0,0.2,0,0.2,6.6,0,1.7,0,0.9,,
Ethiopia,2009,631.005,-1.641072273,29.4654102,60.645,1213.595972,0.5,1.5,19.4,64.7,0.4,10.5,0,0.1,0,1.6,0.1,1.1,,
France,2009,3189.707022,0.512012899,106.454376,81.4146341,37679.11891,49.4,41.6,2.2,0.2,0.2,4.7,0,0.5,0.4,0.2,0.1,0.5,,
Germany,2009,3530.432679,0.859902501,100.286728,79.8365854,43359.61483,41.9,21,0,0.6,0,1.2,0,0.2,32.7,1.4,0.2,0.8,,
Ghana,2009,548.310363,0.027835818,45.7366104,60.645,3781.865529,0,20.8,55.3,3.7,0,14.9,0,0.1,0,2.7,0.1,2.2,,
Guatemala,2009,1089.059499,-0.925672591,46.3767395,71.108,7204.732938,9,55.9,31,0,0,0.2,0,0.1,0,3.2,0.5,0,,
Hungary,2009,3254.212086,0.536816299,95.7292786,73.904878,23275.23186,29.2,47.2,16.8,3.5,0.2,0,0,0,0.7,1.4,0.2,0.8,,
India,2009,1420.964196,-1.355547905,57.5185699,66.244,4861.156152,2.9,0,0,0,0.6,8.1,75.6,1.8,3.1,4.9,0,2.6,,
Malaysia,2009,290.523396,-0.04166092,79.1458435,74.305,22985.80166,1.5,7,4.6,0,0.2,57.4,7.8,20.1,0,1.2,0,0.2,,
Mexico,2009,1630.780569,-0.686627805,89.39711,75.128,17162.92737,17.1,72.2,1,0,0.1,0.1,0,0,5.6,2.9,0.1,0.9,,
Peru,2009,-634.107723,-1.180047989,92.0806503,74.12,10767.67733,11.7,70.4,12.6,0,0.1,0,0.3,0,0,3.9,0,1.1,,
Romania,2009,3170.078109,0.359366298,95.1823578,73.3097561,18869.56897,0.4,7.5,5,86.5,0.1,0.2,0,0,0,0,0,0.3,,
Serbia,2009,3037.139949,-0.47735855,92.6842422,73.9853659,13933.84462,3.7,3.9,0.7,87.1,0.6,2.7,0,0,0,0,0.1,1.1,,
South Africa,2009,-2108.604258,-0.11449261,95.1234207,56.46,13215.70868,16.2,12.1,58.5,0.2,0.1,1.2,1,0.3,1.5,6.6,2.3,0,,
Spain,2009,2791.993023,-0.47459957,117.911072,81.4756098,31720.12,18.1,79.7,0.3,0,0,0.1,0,0.2,0,0.2,0.2,1.2,,
Sweden,2009,4148.843109,1.084638238,99.0862579,81.3512195,45432.43197,25,1.6,0.3,0,0,0.4,0,0,3.2,68.8,0,0.7,,
Switzerland,2009,3230.454972,1.307721257,93.5534363,82.0439024,59933.59868,19.1,36.6,37.8,0,0.6,1.6,0,0,0,3.7,0,0.7,,
Thailand,2009,1095.032208,-1.42447114,83.911911,73.766,14870.97555,0.1,0,0.1,0,0.1,2.5,0,96.8,0,0.1,0,0.2,,
Ukraine,2009,3338.180877,-0.302319407,94.3087692,69.19,9705.358398,25.7,7.2,0.4,60.6,0.7,0.3,0,0.2,0,0,2.2,2.9,,
Egypt,2009,1850.618157,-0.607227087,66.8448563,70.159,11092.74326,0,0,0,0,0,93.6,0,0,6.4,0,0,0,,
United Kingdom,2009,3821.085519,0.121949501,100.743057,80.0512195,38514.02617,47,10.9,25.1,0.3,0.3,7.2,0.9,0.4,2.1,3.1,0.1,1.5,,
Uruguay,2009,-2244.071751,0.789260983,95.9215164,76.603,18192.3297,55,33.8,6.9,0,0.3,0,0.1,0.2,0,3.7,0,0,,
Algeria,2010,1934.338134,-1.259367585,98.6929626,74.938,13056.80259,0,0,0,0,0,99.5,0,0,0.5,0,0,0,,
Argentina,2010,-2650.710693,-0.084797867,104.15448,75.278,20131.68042,16.9,69.6,1.2,0.4,0.3,0.2,0.2,0.5,0,9.7,0,0.9,,
Armenia,2010,2764.767831,0.071855329,103.744003,73.331,9835.802461,6.5,0.1,0,90,0.1,0.1,0,0.1,0,2.7,0.3,0,,
Belarus,2010,3705.976683,-0.094990097,106.412262,70.404878,18994.19019,13.5,10.5,2,72.9,0.2,0.3,0,0,0,0.1,0.6,0,,
Chile,2010,-2461.585143,0.67960453,91.3996735,78.779,22346.99046,23.1,63.8,11.2,0,0.1,0,0.1,0,0,0,1.2,0.5,,
China,2010,2474.45454,-0.657060683,88.0126801,74.409,11872.49738,80.6,0.8,2.5,0,0,0.5,0.1,9.2,0,0.6,0,5.7,,
Colombia,2010,315.389892,-1.537184834,102.269379,75.424,12727.76493,21.4,61.3,0.1,0,0,0.1,0,0.1,15.7,0.9,0,0.3,,
Cyprus,2010,2423.722497,0.452444822,91.9940033,79.43,30375.0918,6.6,0.7,0.1,67.5,0,24.6,0,0,0,0.5,0,0,,
Ecuador,2010,-126.355491,-0.586674452,94.4694672,75.089,11153.68521,23.5,62.6,0,0,0,0,0,0,11.4,2.4,0,0.1,,
Estonia,2010,4043.073768,0.661366999,105.332642,75.4292683,27464.51868,64.3,2,7.6,23,0,0.2,0,0.1,0,1.2,1.1,0.4,,
Germany,2010,3530.432679,0.796834469,101.152847,79.9878049,44993.89275,30.7,26.6,0,1.7,0.1,5.6,0.2,0.2,32.6,1,0.1,1.1,,
Hong Kong,2010,1545.353532,0.935810566,88.1830978,82.9780488,53691.83748,68.5,3.1,0,0,0,0.1,0.1,11.3,15.7,1.1,0,0.1,,
India,2010,1420.964196,-1.2779845,61.1048012,66.693,5057.233414,0.4,0,0,0,0,11,81.9,0.6,1.6,4.5,0,0,,
Kazakhstan,2010,3313.350537,0.522971809,98.7503433,68.45,24504.76609,21,1,0.6,26.7,0.1,50.3,0.1,0.1,0,0.1,0,0,,
Jordan,2010,2110.376316,-0.31249252,81.6359787,73.428,9322.302454,0,1.4,0.4,1.2,0,96.9,0,0,0,0,0,0.1,,
Korea,2010,2477.635233,0.325895816,96.0889206,80.1170732,34244.31214,41.3,15.7,21,0.1,0.1,0.1,0,20.6,0,0.5,0,0.7,,
Malaysia,2010,290.523396,0.143352136,80.1992035,74.493,23477.99117,1.5,0,0,0,0,63.1,7.6,16.9,7.3,3.6,0,0,,
Mexico,2010,1630.780569,-0.726463437,90.3881378,75.065,17373.89746,17.9,69.5,0,0,0,0,0,0,9.3,2.9,0.1,0.1,,
Morocco,2010,2193.627438,-0.383013308,58.8403511,74.382,6916.013184,0,0.2,0.1,0,0.3,99.2,0.1,0,0,0.1,0,0,,
Netherlands,2010,3597.151677,0.940750122,121.217552,80.702439,49241.51784,63.6,17.6,0,0,0.1,2.1,0.3,0.3,0,15.5,0,0.6,,
New Zealand,2010,-2822.138433,1.236488819,121.821358,80.702439,36242.62123,32.3,12.7,0,0.4,0.4,16.3,1.1,0,24.5,9.9,0,2.5,,
Nigeria,2010,626.657931,-2.211123228,41.1909904,50.896,5225.172934,8.9,19.1,24.5,2.1,1.7,43,0.1,0,0,0.6,0,0,,
Pakistan,2010,2095.897149,-2.675933123,28.8116493,65.264,4618.694924,0,0,0,0,0,1.6,0.2,0,0.1,97.9,0,0.1,,
Peru,2010,-634.107723,-0.999915421,93.5096283,74.41,11295.96326,10.1,73.4,10.1,0,0,0.1,0.2,0,0.4,4.3,0.2,1.3,,
Poland,2010,3582.441222,1.01733005,95.6627502,76.2463415,24567.50617,4.7,92.3,0.2,0.8,0,0,0,0,0,0,0.6,1.4,,
Romania,2010,3170.078109,0.273600399,97.2269669,73.4585366,19781.92571,1.4,3.3,2.9,85.7,0.1,0.2,0,0.1,5.3,0.8,0,0.3,,
Rwanda,2010,-133.879182,-0.272093862,31.6176796,63.433,1543.347604,11.2,55.7,19.8,1.8,0.1,5.2,0.1,0,0,6.1,0,0,,
Slovenia,2010,3184.435629,0.866508842,98.5895615,79.4219512,29973.69935,29.2,65,0,1.7,0,1.7,0.1,0.1,1.2,0.4,0.2,0.5,,
South Africa,2010,-2108.604258,-0.029427003,96.5637131,57.669,13606.9429,16.2,14.6,12.8,0.3,0.2,1.4,1.6,0.4,2.3,39.7,10.6,0,,
Spain,2010,2791.993023,-0.318043739,120.73542,81.6268293,32434.0032,23.4,72.3,0.9,0.2,0,0.2,0.1,0.2,0,1.6,0.2,0.9,,
Sweden,2010,4148.843109,1.094170451,97.5972366,81.4512195,46312.39238,33.6,1.3,0,0.8,0.1,2.4,0.2,0.1,0,60.5,0.5,0.5,,
Thailand,2010,1095.032208,-1.442788363,85.3351212,74.184,15407.6654,0.4,0.6,0,0,0.1,2.2,0.1,96.1,0,0.3,0,0.2,,
Tunisia,2010,2338.197273,-0.063976362,94.4913788,75.041,10769.9831,0,0,0,0,0,100,0,0,0,0,0,0,,
Ukraine,2010,3338.180877,0.013131719,94.3839493,70.2653659,11111.05176,14.9,6.2,1.8,75,0.4,0.6,0.2,0.3,0.1,0.4,0,0,,
Uruguay,2010,-2244.071751,0.824986041,109.489777,76.75,19130.0614,60.7,23.7,0.3,0,0.2,0,0,0,7.2,7.3,0.5,0.1,,
Uzbekistan,2010,2855.046879,-0.720438123,89.8993607,69.672,6302.647244,0.6,0.1,0.3,3,0.1,95.1,0.2,0.1,0,0,0,0.7,,
Algeria,2011,1934.338134,-1.360560656,101.544518,75.199,13003.26686,0,0,0,0,0,99.5,0,0,0.5,0,0,0,,
Argentina,2011,-2650.710693,0.158993661,106.615471,75.439,19683.77151,16.9,69.6,1.2,0.4,0.3,0.2,0.2,0.5,0,9.7,0,0.9,,
Armenia,2011,2764.767831,-0.063868985,93.2961884,73.572,10036.88984,6.5,0.1,0,90,0.1,0.1,0,0.1,0,2.7,0.3,0,,
Belarus,2011,3705.976683,-0.087769009,105.553452,70.5536585,19008.06102,13.5,10.5,2,72.9,0.2,0.3,0,0,0,0.1,0.6,0,,
Chile,2011,-2461.585143,0.452553362,91.8556595,78.986,22687.25157,23.1,63.8,11.2,0,0.1,0,0.1,0,0,0,1.2,0.5,,
Colombia,2011,315.389892,-1.284655571,103.552948,75.655,13307.4245,21.4,61.3,0.1,0,0,0.1,0,0.1,15.7,0.9,0,0.3,,
Cyprus,2011,2423.722497,0.607984483,93.532547,79.621,30080.23047,6.6,0.7,0.1,67.5,0,24.6,0,0,0,0.5,0,0,,
Ecuador,2011,-126.355491,-0.686557531,98.7572174,75.289,11713.17591,23.5,62.6,0,0,0,0,0,0,11.4,2.4,0,0.1,,
Estonia,2011,4043.073768,0.611041307,106.638107,76.2292683,28945.46533,64.3,2,7.6,23,0,0.2,0,0.1,0,1.2,1.1,0.4,,
Germany,2011,3530.432679,0.842218459,100.87674,80.4365854,47011.55109,30.7,26.6,0,1.7,0.1,5.6,0.2,0.2,32.6,1,0.1,1.1,,
Hong Kong,2011,1545.353532,0.94859612,86.768219,83.4219512,54781.64716,68.5,3.1,0,0,0,0.1,0.1,11.3,15.7,1.1,0,0.1,,
India,2011,1420.964196,-1.32679534,64.6692505,67.13,5233.882343,0.4,0,0,0,0,11,81.9,0.6,1.6,4.5,0,0,,
Kazakhstan,2011,3313.350537,-0.338570565,100.256287,68.69,24726.47287,21,1,0.6,26.7,0.1,50.3,0.1,0.1,0,0.1,0,0,,
Jordan,2011,2110.376316,-0.513562262,79.0463181,73.581,9181.046372,0,1.4,0.4,1.2,0,96.9,0,0,0,0,0,0.1,,
Korea,2011,2477.635233,0.412495643,96.4944305,80.5682927,35324.49767,41.3,15.7,21,0.1,0.1,0.1,0,20.6,0,0.5,0,0.7,,
Malaysia,2011,290.523396,0.077409767,80.6839371,74.683,24607.66873,1.5,0,0,0,0,63.1,7.6,16.9,7.3,3.6,0,0,,
Mexico,2011,1630.780569,-0.667768598,91.3068771,75.011,18056.78981,17.9,69.5,0,0,0,0,0,0,9.3,2.9,0.1,0.1,,
Morocco,2011,2193.627438,-0.392256796,61.5229416,74.696,6609.608887,0,0.2,0.1,0,0.3,99.2,0.1,0,0,0.1,0,0,,
Netherlands,2011,3597.151677,1.113630772,127.385674,81.204878,49233.2154,63.6,17.6,0,0,0.1,2.1,0.3,0.3,0,15.5,0,0.6,,
New Zealand,2011,-2822.138433,1.376731038,121.851448,80.904878,37293.35679,32.3,12.7,0,0.4,0.4,16.3,1.1,0,24.5,9.9,0,2.5,,
Nigeria,2011,626.657931,-1.956454515,41.887989,51.346,5507.169495,8.9,19.1,24.5,2.1,1.7,43,0.1,0,0,0.6,0,0,,
Pakistan,2011,2095.897149,-2.810035467,28.8733501,65.562,4770.644237,0,0,0,0,0,1.6,0.2,0,0.1,97.9,0,0.1,,
Peru,2011,-634.107723,-0.760749698,94.1889572,74.697,11510.27888,10.1,73.4,10.1,0,0,0.1,0.2,0,0.4,4.3,0.2,1.3,,
Poland,2011,3582.441222,1.072062969,95.5844498,76.695122,25475.50469,4.7,92.3,0.2,0.8,0,0,0,0,0,0,0.6,1.4,,
Romania,2011,3170.078109,0.186090663,97.6118393,74.4097561,20657.67329,1.4,3.3,2.9,85.7,0.1,0.2,0,0.1,5.3,0.8,0,0.3,,
Rwanda,2011,-133.879182,-0.17711778,36.2770882,64.523,1706.753166,11.2,55.7,19.8,1.8,0.1,5.2,0.1,0,0,6.1,0,0,,
Slovenia,2011,3184.435629,0.969209671,98.4224625,79.9707317,30870.02367,29.2,65,0,1.7,0,1.7,0.1,0.1,1.2,0.4,0.2,0.5,,
South Africa,2011,-2108.604258,0.02403157,98.8816223,58.895,13602.10264,16.2,14.6,12.8,0.3,0.2,1.4,1.6,0.4,2.3,39.7,10.6,0,,
Spain,2011,2791.993023,0.021104537,121.802269,82.4756098,33525.74063,23.4,72.3,0.9,0.2,0,0.2,0.1,0.2,0,1.6,0.2,0.9,,
Sweden,2011,4148.843109,1.230688095,96.4696503,81.802439,47184.66913,33.6,1.3,0,0.8,0.1,2.4,0.2,0.1,0,60.5,0.5,0.5,,
Thailand,2011,1095.032208,-1.133533716,88.1180725,74.593,15480.21079,0.4,0.6,0,0,0.1,2.2,0.1,96.1,0,0.3,0,0.2,,
Tunisia,2011,2338.197273,-0.353741795,95.2787476,75.206,11024.75012,0,0,0,0,0,100,0,0,0,0,0,0,,
Ukraine,2011,3338.180877,-0.070431463,92.0881882,70.8092683,10743.58594,14.9,6.2,1.8,75,0.4,0.6,0.2,0.3,0.1,0.4,0,0,,
Uzbekistan,2011,2855.046879,-0.599719346,89.8812714,69.91,6494.859941,0.6,0.1,0.3,3,0.1,95.1,0.2,0.1,0,0,0,0.7,,
Argentina,2012,-2650.710693,0.103040546,106.615471,75.598,20105.19899,16.9,69.6,1.2,0.4,0.3,0.2,0.2,0.5,0,9.7,0,0.9,,
Armenia,2012,2764.767831,0.154794976,93.2961884,73.82,9969.664854,6.5,0.1,0,90,0.1,0.1,0,0.1,0,2.7,0.3,0,,
Belarus,2012,3705.976683,0.06861522,105.553452,71.9658537,18095.66518,13.5,10.5,2,72.9,0.2,0.3,0,0,0,0.1,0.6,0,,
Chile,2012,-2461.585143,0.331102103,91.8556595,79.176,22566.17765,23.1,63.8,11.2,0,0.1,0,0.1,0,0,0,1.2,0.5,,
Colombia,2012,315.389892,-1.401810408,103.552948,75.882,13265.79726,21.4,61.3,0.1,0,0,0.1,0,0.1,15.7,0.9,0,0.3,,
Cyprus,2012,2423.722497,0.635126054,93.532547,79.812,31815.27344,6.6,0.7,0.1,67.5,0,24.6,0,0,0,0.5,0,0,,
Ecuador,2012,-126.355491,-0.57030648,98.7572174,75.495,11060.28627,23.5,62.6,0,0,0,0,0,0,11.4,2.4,0,0.1,,
Estonia,2012,4043.073768,0.636465192,106.638107,76.3268293,29175.92593,64.3,2,7.6,23,0,0.2,0,0.1,0,1.2,1.1,0.4,,
Germany,2012,3530.432679,0.775621295,100.87674,80.5390244,47609.781,30.7,26.6,0,1.7,0.1,5.6,0.2,0.2,32.6,1,0.1,1.1,,
Hong Kong,2012,1545.353532,1.006289482,86.768219,83.4804878,56408.93627,68.5,3.1,0,0,0,0.1,0.1,11.3,15.7,1.1,0,0.1,,
India,2012,1420.964196,-1.289309859,64.6692505,67.545,5464.859178,0.4,0,0,0,0,11,81.9,0.6,1.6,4.5,0,0,,
Kazakhstan,2012,3313.350537,-0.408455014,100.256287,69.52,23224.11784,21,1,0.6,26.7,0.1,50.3,0.1,0.1,0,0.1,0,0,,
Jordan,2012,2110.376316,-0.523977637,79.0463181,73.722,9464.682242,0,1.4,0.4,1.2,0,96.9,0,0,0,0,0,0.1,,
Korea,2012,2477.635233,0.267103314,96.4944305,80.8195122,37902.4004,41.3,15.7,21,0.1,0.1,0.1,0,20.6,0,0.5,0,0.7,,
Malaysia,2012,290.523396,-0.005212402,80.6839371,74.877,24801.88843,1.5,0,0,0,0,63.1,7.6,16.9,7.3,3.6,0,0,,
Mexico,2012,1630.780569,-0.662454188,91.3068771,74.966,18301.50047,17.9,69.5,0,0,0,0,0,0,9.3,2.9,0.1,0.1,,
Morocco,2012,2193.627438,-0.470458776,61.5229416,74.97,7024.962891,0,0.2,0.1,0,0.3,99.2,0.1,0,0,0.1,0,0,,
Netherlands,2012,3597.151677,1.187464714,127.385674,81.104878,50288.59139,63.6,17.6,0,0,0.1,2.1,0.3,0.3,0,15.5,0,0.6,,
New Zealand,2012,-2822.138433,1.361365557,121.851448,81.1560976,37479.68298,32.3,12.7,0,0.4,0.4,16.3,1.1,0,24.5,9.9,0,2.5,,
Nigeria,2012,626.657931,-2.042073727,41.887989,51.786,5426.332787,8.9,19.1,24.5,2.1,1.7,43,0.1,0,0,0.6,0,0,,
Pakistan,2012,2095.897149,-2.677003622,28.8733501,65.849,4921.89157,0,0,0,0,0,1.6,0.2,0,0.1,97.9,0,0.1,,
Peru,2012,-634.107723,-0.907364726,94.1889572,74.981,11572.32079,10.1,73.4,10.1,0,0,0.1,0.2,0,0.4,4.3,0.2,1.3,,
Poland,2012,3582.441222,1.04947865,95.5844498,76.7463415,26862.05252,4.7,92.3,0.2,0.8,0,0,0,0,0,0,0.6,1.4,,
